iter	Passed	Remaining
863	118157	18598
864	118243	18454
865	118337	18310
866	118418	18165
867	118524	18024
868	118615	17881
869	118694	17736
870	118781	17592
871	118862	17447
872	118950	17304
873	119043	17161
874	119134	17019
875	119211	16874
876	119292	16730
877	119381	16588
878	119472	16446
879	119553	16302
880	119637	16159
881	119737	16019
882	119821	15876
883	119906	15734
884	119990	15592
885	120073	15449
886	120178	15310
887	120259	15167
888	120351	15027
889	120445	14886
890	120535	14745
891	120629	14605
892	120714	14464
893	120797	14322
894	120886	14182
895	120971	14041
896	121058	13900
897	121144	13760
898	121231	13619
899	121319	13479
900	121397	13338
901	121505	13201
902	121584	13060
903	121712	12925
904	121795	12785
905	121873	12644
906	121955	12504
907	122049	12366
908	122129	12226
909	122206	12086
910	122290	11947
911	122377	11808
912	122465	11669
913	122556	11531
914	122657	11394
915	122734	11255
916	122838	11118
917	122935	10981
918	123010	10842
919	123087	10703
920	123174	10565
921	123265	10428
922	123376	10292
923	123469	10155
924	123564	10018
925	123646	9881
926	123732	9743
927	123829	9607
928	123913	9470
929	124004	9333
930	124097	9197
931	124188	9060
932	124276	8924
933	124369	8788
934	124453	8651
935	124540	8515
936	124625	8379
937	124706	8242
938	124801	8107
939	124899	7972
940	124983	7836
941	125080	7701
942	125166	7565
943	125259	7430
944	125359	7296
945	125443	7160
946	125538	7025
947	125618	6890
948	125702	6755
949	125797	6620
950	125896	6486
951	125973	6351
952	126058	6216
953	126147	6082
954	126225	5947
955	126304	5813
956	126389	5678
957	126470	5544
958	126545	5410
959	126618	5275
960	126705	5142
961	126802	5008
962	126919	4876
963	127012	4743
964	127091	4609
965	127169	4475
966	127270	4343
967	127377	4210
968	127488	4078
969	127587	3946
970	127693	3813
971	127797	3681
972	127880	3548
973	127955	3415
974	128031	3282
975	128110	3150
976	128200	3018
977	128290	2885
978	128395	2754
979	128490	2622
980	128573	2490
981	128655	2358
982	128740	2226
983	128830	2094
984	128925	1963
985	129010	1831
986	129100	1700
987	129182	1569
988	129275	1437
989	129370	1306
990	129453	1175
991	129534	1044
992	129620	913
993	129723	783
994	129828	652
995	129933	521
996	130039	391
997	130157	260
998	130237	130
999	130323	0
